32 32
3
14
17
16 28
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;   1M;    1;   1M;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    1;   1P;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    1;    1;    1;    0;    1;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    2;    2;   2M;    1;    1;    1;    1;    1;    0;    1;    0;    0;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    2;   2M;   2M;    2;    0;    1;    1;    1;    1;    0;    0;    1;    0;    0;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    2;    2;    0;    2;    2;   2M;   2M;    0;    0;    0;    1;    1;    1;    1;    0;    1;    1;    1;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;   13;    2;    2;    2;    2;   2M;    2;    2;    2;    2;    2;    2;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    0;    0;    0;    0;    0;    0
   0;    0;   12;    0;   13;    2;    2;    2;    2;   2M;    2;    2;    2;    2;    2;    2;    1;    1;    1;    1;    1;   1M;    1;    1;    1;    0;    0;    0;    0;    0;    0;    0
   0;   11;   11;   11;   13;    2;    2;    2;    2;    2;    2;    2;    2;    2;    1;    1;    1;    1;    1;    1;   1M;   1M;   1M;    1;    1;    1;    0;    0;    0;    0;    0;    0
   0;   11;   11;   11;  11M;   11;    0;    2;    2;    2;    2;    2;    0;    2;    1;    1;    1;   1P;    1;   1M;   1M;   1M;    1;    1;    1;    1;    0;    1;    0;    0;    0;    0
   0;    0;   11;   11;   11;    0;    0;    2;    2;    2;    2;    2;    2;    2;    1;    1;    1;    1;   1M;   1M;    1;    1;    1;    1;    1;   1P;    1;    1;    0;    0;    0;    0
   0;    0;   11;    9;    9;    0;    0;    2;    2;    2;   2P;    2;   2M;    2;    1;    1;    1;    1;    1;   1M;    1;    1;    1;    0;    1;    1;   1M;   1M;    0;    0;    0;    0
   0;   11;   11;    9;    0;    0;    0;    0;    2;    2;    2;   2M;   2M;    2;    2;    1;   1M;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;    1;   1P;   1M;    1;    0
   0;    9;    9;    9;    9;   10;    7;    7;    7;   7M;   2M;   2M;   2M;    2;   1M;   1M;   1M;    1;   1M;    1;    1;    1;   1M;   1M;    1;   1M;    1;   1M;   1M;   1M;    1;    0
   0;    9;    9;    9;    9;    9;   7M;    7;   2M;    2;   2M;   2M;   2M;   1M;   1M;   1M;    1;    1;   1M;   1M;   1M;    1;   1M;   1M;   1M;   1M;    1;   1M;   1M;   1M;    1;    0
   0;    9;    0;    9;    9;    7;    7;   7M;    2;    3;    2;    2;   2M;   1M;   1M;    1;    1;   1M;   1M;   1M;    1;    1;   1M;    1;    1;   1M;    1;    1;    1;    1;    1;    0
   0;    6;    6;    6;    7;    7;   7M;    7;    3;    3;    3;    2;   2M;   1M;   1M;    1;    1;    1;   1M;   1M;   1M;   1M;   1M;   5M;   1M;    1;   1M;   1M;   1M;    1;   1M;    0
   0;    6;    6;    6;    8;    8;    8;    7;    3;    3;    3;    3;    2;    4;    1;   1M;   1P;    1;   1M;   1M;   1M;   1M;   1M;   5M;    1;    0;   1M;   1M;    1;   1M;   1M;    0
   0;    6;    6;    6;    0;    6;    6;    6;   6M;    3;    3;    3;    2;    5;   5M;   1M;   1P;    1;   1M;   1M;   5M;   5M;   5M;    5;    0;    0;   1M;   1M;    1;    1;    1;    0
   0;    0;    6;    6;   6M;   6M;    6;   6M;   6M;    6;    3;    3;    5;    5;    5;   5M;    1;    5;    5;   5M;    5;    5;    5;   5M;    0;   1M;   1M;   1M;    1;    1;    1;    0
   0;    6;    6;    6;    6;   6M;   6M;   6M;   6M;   6M;    3;    5;    5;    5;    5;    5;   5M;    5;   5M;    5;    5;    5;   5M;    1;   1M;   1M;   1M;   1M;    0;    1;    1;    0
   0;    6;    6;    6;   6M;   6M;   6M;   6M;    6;    6;    6;    5;    5;    5;    5;    5;    5;   5M;    5;    5;    5;   5M;   1M;   1M;   1M;    1;   1M;    0;    0;    1;    0;    0
   0;    6;    6;    0;    0;   6P;    6;    6;    6;    6;    6;  16M;    5;   14;    5;    5;    5;    0;    5;    5;    0;    1;   1M;   1M;   1M;   1M;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    6;    0;    6;   16;   16;   16;  16M;   5M;   14;  14M;    5;    5;    5;    5;    5;    0;    0;   1M;    1;    0;   1M;   1M;   1M;    1;    1;    0;    0
   0;    0;    0;    0;    0;    6;    6;    6;    0;    0;    0;   14;  14M;  14M;  14M;   14;   14;    5;    5;    5;    0;    0;    1;    0;    0;   1M;   1M;   1M;   1M;    0;    0;    0
   0;    0;    0;    0;    0;    6;    6;    6;    6;    0;    0;   14;  14M;  14M;  14M;   14;   14;    0;    5;    5;    5;    5;    0;    0;    0;    0;    1;    1;    1;    0;    0;    0
   0;    0;    0;    0;    6;    6;    6;    6;    0;    0;    0;   15;   15;  14M;    0;    0;    0;    0;    5;    5;    5;    5;    5;    0;    0;    0;    1;    1;    1;   1M;    1;    0
   0;    0;    0;    0;    6;    6;    6;    6;    0;    0;    0;    0;   15;   14;    0;    0;    0;    0;    0;    5;    5;    5;    5;    5;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    6;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    5;    5;   5M;    0;    5;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    5;   5M;   5M;    5;    0;    1;    1;    1;    0;    0;    0;    0;    0
   0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
